sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
France;68;FR;Cherries;531;Fruits;m3;90467400;92149504;91987400;88690096;88703200;92168200;75434400;80032200;90648896;90711104;92713504;94171104;94884200;102353000;104180000;104362000;106752000;107389000;112607000;112607000;116899000;118863000;109480000;107365000;118862000;116986000;116985000;112607000;105726000;103223000;87526096;83385504;83754896;82395800;80769400;80425200;76454800;75027904;75510304;75528304;75283800;75890800;76040400;75802200;75684496;73200800;69278600;66713800;63654900;59168900;56310400;53745400;51674000;51429800;51004400;51198800
France;68;FR;"Chillies and peppers, green";401;Vegetables;m3;1309410;1752230;2030930;2107260;2607370;2657000;2897490;2813510;3790800;5153650;3817520;4428320;4844440;4283250;4145820;4794800;4615370;5726270;5726300;5344540;5344540;5344540;5726290;5726270;5726280;4962770;4962770;3435770;3817520;4065660;4012180;3809960;3691590;3431940;3874840;3485350;3168600;2721930;2401210;2485200;2660830;2893680;2702780;2435580;2294330;2191300;3470220;3489200;3351800;2363080;2336320;2603530;2328690;2309600;2347780;3641910
France;68;FR;"Cucumbers and gherkins";397;Vegetables;m3;12525000;13462200;13790500;13454300;12402400;11828900;10314200;9226630;16717100;15700700;15423900;7775220;8740190;8178600;8506850;10191600;10349800;9622110;10421000;10100700;9887090;9887090;9491610;7909670;6723220;7909670;11864500;8305150;7514180;7514190;7530020;6988210;6315890;6062770;5422100;4650870;4065570;3879690;3721510;3563320;3594950;3670090;3594940;3515850;2867260;2839570;7870120;7822670;7794990;7166150;7011910;6944690;6857680;6608530;6620400;6877460
France;68;FR;Grapes;560;Fruits;m3;5910439936;5893770240;5868810240;5839569920;5818769920;5767799808;5751309824;5681229824;5245199872;5161849856;5082229760;5065140224;5087660032;5079289856;4977200128;5111819776;5018059776;4904280064;4860049920;4642480128;4514140160;4456600064;4375340032;4302380032;4253169920;4178340096;4124829952;3939360000;3852610048;3783749888;3758970112;3781789952;3759660032;3746350080;3729669888;3695849984;3660260096;3595760128;3598609920;3588689920;3590200064;3591180032;3547970048;3551150080;3563040000;3689489920;3454939904;3395790080;3318390016;3215840000;3185159936;3171130112;3170089984;3156720128;3134870016;3156270080
France;68;FR;"Lettuce and chicory";372;Vegetables;m3;74686400;77686200;74986496;78585800;76786200;83684704;80685504;76486000;77986000;68987600;63888400;74254704;75586200;74686304;75886200;72286800;74086600;73486896;65988000;60889100;61489000;61488800;60589200;58189600;59689200;59389400;63588400;56389800;56089900;56560800;57715700;60574000;61408000;61137900;59089300;56791800;53219500;53534400;54065300;54410200;53747400;52457600;52574500;52919500;51038700;51038700;49557000;49038100;47784500;37253300;36716300;34013800;33761900;26860100;26476300;26290200
France;68;FR;Maize;56;Cereals;m3;4368999936;3870099968;4255480064;3990380032;3882099968;4293750016;4525459968;4561529856;5280679936;6545110016;7373850112;8451230208;8478730240;8501089792;8741680128;6218129920;7235680256;8033240064;8888800256;7813190144;6990629888;7333709824;7503059968;7765899776;8407580160;8416459776;7770420224;9000519680;8654310400;6959079936;7824809984;8274729984;8152659968;7322480128;7264309760;7608030208;8126949888;7846190080;7641939968;7862949888;8535960064;8150559744;7505880064;8115339776;7389559808;6699350016;6815929856;7830240256;7772259840;7051820032;7114149888;7618599936;8213570048;8131789824;7293969920;6625489920
France;68;FR;"Mushrooms and truffles";449;Vegetables;m3;15174200;17184000;22386600;24669400;24239200;24149900;26560900;24668300;23735600;26417900;26115100;36485100;46648900;44135700;51499100;53751300;32124300;32234100;28643800;30789500;37097100;28808100;27798700;32830300;28354000;24446900;27495500;32472600;65853900;58567300;56156700;48677100;45499500;36811200;34100000;42346500;39758900;35575900;36546900;17473900;17907800;16029700;15521800;15131300;12666600;10593700;12052600;12688700;10427800;10914100;1057790;1066080;955073;993564;924664;932106
France;68;FR;"Peaches and nectarines";534;Fruits;m3;323872992;319996000;322433984;289215008;304310016;309884000;259868000;275238016;281748992;271060992;276284992;253680992;250343008;225836992;212459008;206234000;198078000;191516992;190975008;197135008;202347008;203296000;203296000;198608000;194004992;194436992;189594000;180212000;182966000;183027008;184975008;183304000;183784992;183120000;179892000;163368992;151855008;146527008;144863008;136016992;127275000;121774000;116821000;110544000;106588000;101296000;95050096;93133904;90189104;79168096;74369200;68954000;64635500;64112000;60625300;58210300
France;68;FR;Pears;521;Fruits;m3;172772000;192784992;209818000;204840000;218110000;230104992;191823008;199200992;194210000;191884992;191312000;182944992;181219008;184608000;182767008;180046000;174694000;171455008;163723008;156903008;154742000;150084000;143264992;138922000;143196992;167064000;137742000;112512000;115240000;109103000;96317104;94748896;92498600;91230304;89757504;87091200;82897904;77408600;76140200;74885504;70535104;66164100;64466300;63614000;61861400;57361000;53917300;49696300;48557600;40327200;38922500;37790500;36488000;36522200;36638100;36119800
France;68;FR;Potatoes;116;Vegetables;m3;3388039936;3281550080;3212290048;2630240000;2188910080;2044109952;1961689984;1793200000;1598700032;1374739968;1321069952;1179869952;1210320000;1195859968;1095750016;1070640000;1136099968;1055409984;1048179968;870817984;803070976;800025984;837326016;875385024;913448000;875387008;818297024;704115968;723145984;622284992;639848000;684043008;605788992;610353984;630289984;642236032;623068992;601969024;625878016;619027008;615011968;617363968;599289984;608025024;595350016;602550976;603553024;596241024;618833984;597857984;603800000;586497984;613555008;641388032;637529024;666910976
France;68;FR;"Pumpkins, squash and gourds";394;Vegetables;m3;9220280;8542270;8069880;8434580;8784590;8434590;8243660;7942610;8510460;8077230;7587690;6158270;6674730;6672270;6728560;6635570;6988010;7032090;8016020;6951310;6853400;10524900;7832460;7832450;8077230;8566760;9056290;9301050;9298590;9558060;1042730;1512660;1568930;1698680;2114760;2364400;2692410;3020390;3615160;4001880;4276050;4251560;4359270;4488960;4227100;4386190;5632020;5688320;5749510;9281460;9350000;9367160;9149280;9423410;9467490;9905630
France;68;FR;Tomatoes;388;Vegetables;m3;89966800;93810400;93082400;89744704;91848600;97596600;92661000;87596496;77214400;79895504;62966400;71244496;71462096;74125104;78399600;74094096;72216600;78927800;85665504;79007696;77232200;78119904;71018096;72349800;74125200;59033800;52375800;53707400;55833500;56721300;56188700;51701200;49623900;47759700;43875900;41115100;41101800;40245100;41669900;32357600;31780600;28207500;27084500;26219000;22122100;19046200;17492600;23027600;29974100;28354000;27124500;15806000;15224500;14558700;14541000;15286600
