,Years,Item Name,Country Name,Item Category,Weight_t,uWF
193,1962,Asparagus,Netherlands,Vegetables,4345.0,658.72802734375
194,1962,Asparagus,Spain,Vegetables,20000.0,1584.8399658203125
195,1962,Asparagus,Turkey,Vegetables,15.0,
196,1962,Carrots and turnips,Austria,Vegetables,12305.0,146.81199645996094
197,1962,Carrots and turnips,France,Vegetables,603299.0,158.1199951171875
198,1962,Carrots and turnips,Germany,Vegetables,253084.0,142.8509979248047
199,1962,Carrots and turnips,Greece,Vegetables,6624.0,387.85101318359375
200,1962,Carrots and turnips,Hungary,Vegetables,70110.0,154.34100341796875
201,1962,Carrots and turnips,Italy,Vegetables,144000.0,139.68699645996094
202,1962,Carrots and turnips,Morocco,Vegetables,29000.0,917.9970092773438
203,1962,Carrots and turnips,Netherlands,Vegetables,117083.0,95.4364013671875
204,1962,Carrots and turnips,Poland,Vegetables,333000.0,92.88780212402344
205,1962,Carrots and turnips,Portugal,Vegetables,40000.0,142.41000366210938
206,1962,Carrots and turnips,Spain,Vegetables,15091.0,453.18798828125
207,1962,Carrots and turnips,Turkey,Vegetables,32000.0,708.1309814453125
208,1962,Cherries,Austria,Fruits,30722.0,415.6099853515625
209,1962,Cherries,France,Fruits,99200.0,928.926025390625
210,1962,Cherries,Germany,Fruits,184657.0,415.6099853515625
211,1962,Cherries,Greece,Fruits,19174.0,1866.8699951171875
212,1962,Cherries,Hungary,Fruits,40100.0,429.8450012207031
213,1962,Cherries,Italy,Fruits,216400.0,1866.8699951171875
214,1962,Cherries,Morocco,Fruits,30.0,
215,1962,Cherries,Netherlands,Fruits,6215.0,415.6099853515625
216,1962,Cherries,Poland,Fruits,30900.0,415.6099853515625
217,1962,Cherries,Portugal,Fruits,31300.0,585.1309814453125
218,1962,Cherries,Romania,Fruits,52500.0,429.8450012207031
219,1962,Cherries,Spain,Fruits,43900.0,490.2900085449219
220,1962,Cherries,Turkey,Fruits,37600.0,1352.1500244140625
221,1962,"Chillies and peppers, green",Austria,Vegetables,5446.0,211.3390045166016
222,1962,"Chillies and peppers, green",France,Vegetables,4920.0,356.1449890136719
223,1962,"Chillies and peppers, green",Greece,Vegetables,15695.0,177.7779998779297
224,1962,"Chillies and peppers, green",Hungary,Vegetables,134101.0,381.1159973144531
225,1962,"Chillies and peppers, green",Italy,Vegetables,240599.0,210.98599243164065
226,1962,"Chillies and peppers, green",Morocco,Vegetables,27000.0,189.8650054931641
227,1962,"Chillies and peppers, green",Portugal,Vegetables,500.0,
228,1962,"Chillies and peppers, green",Romania,Vegetables,104000.0,479.4750061035156
229,1962,"Chillies and peppers, green",Spain,Vegetables,333500.0,116.30999755859376
230,1962,"Chillies and peppers, green",Turkey,Vegetables,250000.0,353.0350036621094
231,1962,Cucumbers and gherkins,Austria,Vegetables,28015.0,259.3299865722656
232,1962,Cucumbers and gherkins,France,Vegetables,53730.0,250.5529937744141
233,1962,Cucumbers and gherkins,Germany,Vegetables,77227.0,494.1650085449219
234,1962,Cucumbers and gherkins,Greece,Vegetables,47567.0,253.6929931640625
235,1962,Cucumbers and gherkins,Hungary,Vegetables,87412.0,572.0040283203125
236,1962,Cucumbers and gherkins,Italy,Vegetables,58600.0,271.2179870605469
237,1962,Cucumbers and gherkins,Morocco,Vegetables,1500.0,492.2640075683594
238,1962,Cucumbers and gherkins,Netherlands,Vegetables,170168.0,50.2661018371582
239,1962,Cucumbers and gherkins,Poland,Vegetables,112500.0,531.6199951171875
240,1962,Cucumbers and gherkins,Romania,Vegetables,74000.0,619.2150268554688
241,1962,Cucumbers and gherkins,Spain,Vegetables,68402.0,235.7790069580078
242,1962,Cucumbers and gherkins,Turkey,Vegetables,275000.0,307.9970092773437
243,1962,Grapes,Austria,Fruits,129000.0,1147.72998046875
244,1962,Grapes,France,Fruits,11505001.0,512.2789916992188
245,1962,Grapes,Germany,Fruits,530301.0,478.0719909667969
246,1962,Grapes,Greece,Fruits,1596072.0,549.27099609375
247,1962,Grapes,Hungary,Fruits,551044.0,1623.06005859375
248,1962,Grapes,Italy,Fruits,10966006.0,631.5070190429688
249,1962,Grapes,Morocco,Fruits,303999.0,1936.550048828125
250,1962,Grapes,Netherlands,Fruits,8278.0,358.7049865722656
251,1962,Grapes,Portugal,Fruits,2090995.0,557.677001953125
252,1962,Grapes,Romania,Fruits,1032097.0,1200.4300537109375
253,1962,Grapes,Spain,Fruits,3869994.0,1927.2900390625
254,1962,Grapes,Turkey,Fruits,3382004.0,835.68798828125
255,1962,Lettuce and chicory,Austria,Vegetables,6861.0,148.4239959716797
256,1962,Lettuce and chicory,France,Vegetables,443000.0,175.36399841308594
257,1962,Lettuce and chicory,Germany,Vegetables,65400.0,163.0399932861328
258,1962,Lettuce and chicory,Greece,Vegetables,16683.0,204.69500732421875
259,1962,Lettuce and chicory,Hungary,Vegetables,28369.0,457.8900146484375
260,1962,Lettuce and chicory,Italy,Vegetables,660698.0,190.7740020751953
261,1962,Lettuce and chicory,Morocco,Vegetables,300.0,
262,1962,Lettuce and chicory,Netherlands,Vegetables,76795.0,115.50700378417967
263,1962,Lettuce and chicory,Portugal,Vegetables,21000.0,118.947998046875
264,1962,Lettuce and chicory,Spain,Vegetables,364999.0,145.46800231933594
265,1962,Lettuce and chicory,Turkey,Vegetables,53000.0,155.6699981689453
266,1962,Maize,Austria,Cereals,192912.0,1107.260009765625
267,1962,Maize,France,Cereals,1866566.0,2073.3798828125
268,1962,Maize,Germany,Cereals,45259.0,1185.8900146484375
269,1962,Maize,Greece,Cereals,215429.0,4255.47021484375
270,1962,Maize,Hungary,Cereals,3269853.0,1478.6199951171875
271,1962,Maize,Italy,Cereals,3263306.0,1640.300048828125
272,1962,Maize,Morocco,Cereals,420001.0,4503.47021484375
273,1962,Maize,Netherlands,Cereals,293.0,
274,1962,Maize,Poland,Cereals,19000.0,1826.9200439453125
275,1962,Maize,Portugal,Cereals,590941.0,6338.43017578125
276,1962,Maize,Romania,Cereals,4932420.0,2153.0
277,1962,Maize,Spain,Cereals,920398.0,3291.260009765625
278,1962,Maize,Turkey,Cereals,800000.0,3294.5
279,1962,Mushrooms and truffles,Austria,Vegetables,3000.0,135.22500610351562
280,1962,Mushrooms and truffles,France,Vegetables,34428.0,499.12799072265625
281,1962,Mushrooms and truffles,Germany,Vegetables,10030.0,135.22500610351562
282,1962,Mushrooms and truffles,Hungary,Vegetables,500.0,
283,1962,Mushrooms and truffles,Italy,Vegetables,6240.0,350.14898681640625
284,1962,Mushrooms and truffles,Morocco,Vegetables,300.0,
285,1962,Mushrooms and truffles,Netherlands,Vegetables,5500.0,135.22500610351562
286,1962,Mushrooms and truffles,Poland,Vegetables,6513.0,135.22500610351562
287,1962,Mushrooms and truffles,Spain,Vegetables,3000.0,499.12799072265625
288,1962,Peaches and nectarines,Austria,Fruits,7298.0,577.8629760742188
289,1962,Peaches and nectarines,France,Fruits,309911.0,1032.5400390625
290,1962,Peaches and nectarines,Germany,Fruits,44075.0,1032.5400390625
291,1962,Peaches and nectarines,Greece,Fruits,89556.0,2666.27001953125
292,1962,Peaches and nectarines,Hungary,Fruits,42400.0,568.1619873046875
293,1962,Peaches and nectarines,Italy,Fruits,1034899.0,577.8629760742188
294,1962,Peaches and nectarines,Morocco,Fruits,3400.0,876.7559814453125
295,1962,Peaches and nectarines,Netherlands,Fruits,1172.0,
296,1962,Peaches and nectarines,Portugal,Fruits,21600.0,876.7559814453125
297,1962,Peaches and nectarines,Romania,Fruits,9200.0,568.1619873046875
298,1962,Peaches and nectarines,Spain,Fruits,105800.0,691.052001953125
299,1962,Peaches and nectarines,Turkey,Fruits,74210.0,564.1079711914062
300,1962,Pears,Austria,Fruits,221000.0,19.555700302124023
301,1962,Pears,France,Fruits,565001.0,341.2120056152344
302,1962,Pears,Germany,Fruits,617998.0,221.88900756835935
303,1962,Pears,Greece,Fruits,95000.0,697.43798828125
