sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";2016
Spain;203;ES;Olives;260;Fruits;m3/ton;2370.18994140625
Spain;203;ES;"Onions (inc. shallots), green";402;Vegetables;m3/ton;133.9429931640625
Spain;203;ES;Pineapples;574;Fruits;m3/ton;0
Spain;203;ES;Potatoes;116;Vegetables;m3/ton;125.66300201416016
Spain;203;ES;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;71.83609771728516
Spain;203;ES;"Rice, paddy";27;Cereals;m3/ton;1417.3299560546875
Spain;203;ES;Strawberries;544;Fruits;m3/ton;121.09400177001953
Spain;203;ES;Tomatoes;388;Vegetables;m3/ton;41.345001220703125
Turkey;223;TR;"Almonds, with shell";221;Fruits;m3/ton;2110.639892578125
Turkey;223;TR;Apples;515;Fruits;m3/ton;262.4200134277344
Turkey;223;TR;Avocados;572;Fruits;m3/ton;2488.9599609375
Turkey;223;TR;Bananas;486;Fruits;m3/ton;138.21200561523438
Turkey;223;TR;"Carrots and turnips";426;Vegetables;m3/ton;92.82939910888672
Turkey;223;TR;"Cocoa beans";661;Lux-foods;m3/ton;0
Turkey;223;TR;Coconuts;249;Fruits;m3/ton;0
Turkey;223;TR;Dates;577;Fruits;m3/ton;351.5610046386719
Turkey;223;TR;Grapes;560;Fruits;m3/ton;383.4179992675781
Turkey;223;TR;"Lemons and limes";497;Fruits;m3/ton;201.70599365234375
Turkey;223;TR;"Lettuce and chicory";372;Vegetables;m3/ton;113.76799774169922
Turkey;223;TR;Maize;56;Cereals;m3/ton;419.552001953125
Turkey;223;TR;"Mushrooms and truffles";449;Vegetables;m3/ton;141.75599670410156
Turkey;223;TR;Olives;260;Fruits;m3/ton;2400.530029296875
Turkey;223;TR;"Onions (inc. shallots), green";402;Vegetables;m3/ton;300.0790100097656
Turkey;223;TR;Pineapples;574;Fruits;m3/ton;0
Turkey;223;TR;Potatoes;116;Vegetables;m3/ton;104.87100219726562
Turkey;223;TR;"Pumpkins, squash and gourds";394;Vegetables;m3/ton;738.0700073242188
Turkey;223;TR;"Rice, paddy";27;Cereals;m3/ton;887.916015625
Turkey;223;TR;Strawberries;544;Fruits;m3/ton;203.26499938964844
Turkey;223;TR;Tomatoes;388;Vegetables;m3/ton;75.18910217285156
