sep=;
"Country Name";"Country FAO Code";"Country ISO2";"Item Name";"Item FAO Code";"Item Category";"Unit of Measure";Value
Romania;183;RO;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Milk Whole Dried";897;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
France;68;FR;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Milk Skimmed Dry";898;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Whey, dry";900;"Diary & Eggs";m3/ton;0
France;68;FR;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Whey, dry";900;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
France;68;FR;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Cheese of Whole Cow Milk";901;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
France;68;FR;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Processed Cheese";907;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
France;68;FR;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Prod.of Nat.Milk Constit";909;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Belgium;255;BE;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
France;68;FR;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Germany;79;DE;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Greece;84;GR;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Hungary;97;HU;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Italy;106;IT;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Morocco;143;MA;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Netherlands;150;NL;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Poland;173;PL;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Portugal;174;PT;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Romania;183;RO;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Serbia;272;RS;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Spain;203;ES;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Turkey;223;TR;"Ice cream and edible ice";910;"Diary & Eggs";m3/ton;0
Austria;11;AT;"Meat indigenous, cattle";944;Meat;m3/ton;0
Belgium;255;BE;"Meat indigenous, cattle";944;Meat;m3/ton;0
France;68;FR;"Meat indigenous, cattle";944;Meat;m3/ton;0
Germany;79;DE;"Meat indigenous, cattle";944;Meat;m3/ton;0
